,revenue,net_profit,eps,dps,gross_profit,ebit,ebitda,close_price,allowance_doubtful_accounts,expense,operating_profit,cash,account_receivable,inventory,current_asset,property_plant_equipment,total_asset,short_term_loan,account_payable,current_portion_long_term_debt,current_liability,non_current_liability,total_liability,paid_in_capital,total_equity,cash_flow_operation,cash_flow_investment,cash_flow_financing,depreciation,P/E,P/BV,D/E,EPS,ROA%,ROAA%,ROE%,ROAE%,ROCE%,NPM%,NPMA%,CurrentRatio,QuickRatio,month,year,dividend,number_of_shares,return_old
2009-06-30,70.93,43.079999999999984,0.060744500846023675,0.0,14.319999999999999,43.910000000000025,45.44999999999999,0.79,0.0,27.02000000000004,-14.549999999999997,84.7,34.75,0.0,247.78,4.05,266.52,0.0,25.87,0.0,40.99,5.63,46.62,1460.05,202.54,33.38,-97.24,88.53999999999999,1.5399999999999998,3.25132311977716,5.69,0.23,-0.2,64.65644670050759,50.68521150592214,85.07874788494075,75.7240947546531,76.59881556683584,-125.62,-109.3,6.04,6.04,6,2009,0.0,709.1999999999999,-141.84
2009-09-30,85.13,-3.280000000000001,-0.003390297684674753,0.0,16.95,-1.1800000000000068,-0.18999999999999773,0.71,0.0,86.30999999999995,0.27999999999999403,66.0,39.38,0.01,135.97,5.77,453.34,0.0,33.1,0.0,229.88,5.63,235.51,1460.05,199.26,9.48,-30.10000000000001,1.9300000000000068,0.9900000000000002,-52.31841463414633,5.2,1.18,-0.15,-2.893958103638369,-3.390297684674753,-6.584410143329659,-6.108864388092615,-5.800573318632857,-73.4,-67.53,0.59,0.59,9,2009,0.0,967.4666666666667,-145.12
2009-12-31,72.57000000000002,-78.88,-0.07042857142857142,0.0,11.120000000000005,-77.58000000000001,-76.88999999999999,0.56,0.0,150.15000000000003,35.68000000000001,82.71,44.74,0.0,162.52,5.64,475.14,0.0,127.07,0.0,149.37,76.62,225.98,1629.06,230.23,-0.8399999999999999,-90.30999999999999,107.85000000000001,0.6900000000000004,-1.9878296146044623,3.96,0.98,-0.2,-66.40005714285714,-76.00651428571429,-137.03991428571427,-138.91331428571428,-95.54339999999999,-83.11,-77.92,1.09,1.09,12,2009,0.0,1120.0,-224.0
2010-03-31,72.54,-8.61,-0.01,0.0,17.73,-8.23,-7.32,0.44,0.0,80.76,2.45,66.9,52.25,0.01,145.97,5.26,467.15,0.0,128.13,0.0,150.35,76.61,226.97,1629.06,221.62,-8.01,-7.39,-0.42,0.91,-11.0,3.23,1.02,-0.01,-7.36,-10.04,-15.56,-26.44,-10.4,-11.95,-11.87,0.97,0.97,3,2010,0.0,860.9999999999999,-8.61
2010-06-30,118.86999999999999,-9.25,-0.005179171332586786,0.0,7.349999999999998,-8.34,-7.51,0.51,0.0,127.21999999999998,-10.46,332.08,52.9,13.57,419.26,5.5,759.95,0.0,117.02,0.0,140.82,76.61,217.44,2291.15,523.56,-29.1,-18.509999999999998,312.8,0.83,-24.61783783783784,2.23,0.42,-0.01,-4.86842105263158,-6.6914893617021285,-7.064389697648377,-10.192609182530795,-5.552071668533035,-9.42,-9.33,2.98,2.88,6,2010,0.0,1786.0,-17.86
2010-09-30,100.28999999999999,-8.379999999999999,-0.0031935975609756096,0.0,16.68,-6.02,-5.26,0.62,0.0,106.31000000000003,-4.27,123.28,30.45,302.29,668.77,15.6,704.88,0.0,65.23,0.0,95.64,74.91,170.55,2291.15,515.18,-134.97000000000003,-73.81,-0.009999999999990905,0.76,-48.5346062052506,2.76,0.33,-0.01,-4.752073170731707,-4.982012195121951,-6.502164634146341,-9.38917682926829,-4.739298780487804,-9.22,-9.0,6.99,3.83,9,2010,0.0,2624.0,-26.24
2010-12-31,60.44,-15.55,-0.007441971763579804,0.0,22.910000000000004,-16.360000000000003,-15.680000000000003,0.71,0.0,76.79999999999995,-9.890000000000002,214.13,33.65,308.03,705.08,17.11,734.3,0.0,37.39,0.0,68.35,74.84,143.18,2443.59,571.27,-64.30999999999997,85.11,70.04000000000002,0.6800000000000002,-23.85120578778135,3.04,0.25,-0.02,-8.468963866953818,-9.58525963149079,-10.895046661880833,-15.523953098827471,-8.70710696338837,-12.21,-11.87,10.32,5.81,12,2010,0.0,2089.5,-41.79
2011-03-31,78.57,-18.12,-0.01,0.0,14.32,-16.85,-16.02,0.6,0.0,95.42,-4.57,99.97,68.6,315.41,704.38,20.01,744.09,0.0,68.16,0.0,97.09,79.36,176.46,2443.59,548.88,-102.42,-11.74,0.0,0.83,-15.0,2.67,0.32,-0.01,-9.76,-11.12,-13.2,-18.8,-10.399999999999999,-23.39,-23.06,7.25,4.01,3,2011,0.0,1812.0,-18.12
2011-06-30,110.28,-18.029999999999998,-0.004987551867219916,0.0,14.559999999999999,-16.479999999999997,-15.32,0.48,0.0,126.76,-9.45,137.38,70.2,326.26,705.54,25.31,760.7,0.0,99.77,0.0,130.48,79.7,210.18,2443.59,530.99,50.440000000000005,-11.499999999999998,-1.53,1.1600000000000001,-24.05990016638935,2.21,0.4,-0.01,-9.47634854771784,-8.738190871369293,-13.586091286307052,-13.685842323651451,-10.553659751037344,-19.42,-19.14,5.41,2.91,6,2011,0.0,3615.0,-36.15
2011-09-30,176.92,-22.130000000000003,-0.007594371997254634,0.0,28.84,-16.22,-13.849999999999998,0.42,0.0,193.14,-4.75,175.55,75.06,362.46,766.7,25.94,836.13,0.0,179.96,1.53,222.81,83.07,305.88,2443.59,508.76,55.019999999999996,-16.850000000000005,0.0,2.37,-13.826028016267509,2.02,0.6,-0.02,-10.586554564172959,-9.766362388469458,-17.406300617707622,-17.284790665751547,-12.272505147563487,-16.17,-15.93,3.44,1.81,9,2011,0.0,2914.0,-58.28
