,revenue,net_profit,eps,dps,gross_profit,ebit,ebitda,close_price,allowance_doubtful_accounts,expense,cash,account_receivable,property_plant_equipment,total_asset,total_liability,paid_in_capital,total_equity,cash_flow_operation,cash_flow_investment,cash_flow_financing,P/E,P/BV,D/E,EPS,DPS,DPR%,ROA%,ROAA%,ROE%,ROAE%,NPMA%,month,year,operating_profit,depreciation,dividend,ROCE%,number_of_shares,return_old
2013-06-30,76.07,-8.52,-0.852,0.0,,-12.71,-12.71,65.0,0.0,0.0,230.68,0.0,32.2,1785.39,1607.14,100.0,178.24,27.509999999999998,43.290000000000006,0.0,-19.07130281690141,36.47,9.02,1.75,0.0,0.0,-1.90848,-1.830582857142857,-19.12374857142857,-20.72064,0.0,6,2013,,,0.0,,10.0,17.5
2013-09-30,82.49000000000001,-8.83,-0.8860553633217993,0.0,,-12.120000000000001,-12.120000000000001,75.0,0.0,0.0,221.74,0.0,31.74,1683.31,1516.5,100.0,166.81,4.98,-13.920000000000002,0.0,-21.16196772366931,44.96,9.09,0.87,0.0,0.0,-2.11838523644752,-1.3036216839677048,-21.183852364475204,-23.261499423298734,0.0,9,2013,,,0.0,,9.96551724137931,8.67
2013-12-31,85.26999999999998,-12.83,-1.2953365384615385,0.0,,1.4400000000000004,1.4400000000000004,68.0,0.0,0.0,282.08,0.0,31.2,1407.93,1254.4,100.0,153.53,37.54,22.799999999999997,0.0,-13.123616523772409,44.29,8.17,-0.42,0.0,0.0,-3.700961538461538,5.551442307692308,-33.432019230769235,-36.14605769230769,0.0,12,2013,,,0.0,,9.904761904761905,-4.16
2014-03-31,87.62,-3.79,-0.38,0.0,,-9.38,-9.38,44.0,0.0,0.0,250.11,0.0,33.96,1389.26,1238.57,100.0,150.69,55.87,-87.84,0.0,-28.9475,29.2,8.22,-0.38,0.0,0.0,-1.08,-2.36,-10.08,-8.8,0.0,3,2014,,,0.0,,9.973684210526315,-3.79
2014-06-30,84.00999999999999,-18.86,-1.8901633554083885,0.0,,-23.79,-23.79,42.0,0.0,0.0,129.6,0.0,33.47,1433.93,1299.61,100.0,134.32,14.850000000000001,-135.35999999999999,0.0,-5.554414103923648,31.27,9.68,-2.27,0.0,0.0,-5.262481236203091,-6.861209713024283,-56.15533774834437,-48.261615894039736,0.0,6,2014,,,0.0,,9.977973568281937,-22.65
2014-09-30,97.19999999999999,0.4599999999999973,0.04602073005858468,0.0,,-2.3999999999999986,-2.3999999999999986,52.0,0.0,0.0,148.8,0.0,32.74,1433.42,1295.84,100.0,137.58,-19.6,38.78999999999999,0.0,282.44010869565386,37.8,9.42,-2.22,0.0,0.0,0.1285263632266779,0.1890581342947262,1.3375033799008482,1.2089770166741705,0.0,9,2014,,,0.0,,9.995495495495495,-22.19
2014-12-31,107.49000000000001,-10.109999999999996,-1.0109999999999997,0.0,,-7.899999999999999,-7.899999999999999,37.0,0.0,0.0,42.14,0.0,32.07,1397.2,1271.04,100.0,126.16,29.28000000000001,-135.94000000000003,0.0,-9.153264094955494,29.33,10.07,-3.23,0.0,0.0,-2.892148606811145,-3.881238390092878,-32.05151702786377,-28.92148606811145,0.0,12,2014,,,0.0,,10.0,-32.3
2015-03-31,115.31,13.82,1.38,0.0,,11.07,11.07,35.0,0.0,0.0,33.36,0.0,33.38,1464.36,1324.38,100.0,139.98,24.14,-32.92,0.0,6.339999999999999,25.0,9.46,1.38,0.0,0.0,3.7599999999999993,3.12,39.48,38.04,0.0,3,2015,,,0.0,,10.01449275362319,13.82
2015-06-30,138.05,55.309999999999995,5.528599739621003,0.0,,61.13999999999999,61.13999999999999,44.0,0.0,0.0,39.14,0.0,34.03,1400.43,1205.14,100.0,195.28,27.299999999999997,-21.519999999999996,0.0,1.9904090580365215,22.53,6.17,6.91,0.0,0.0,15.809715029654276,16.32177057717344,113.29228988861564,134.25456386518155,0.0,6,2015,,,0.0,,10.004341534008683,69.13
2015-09-30,100.33999999999997,19.450000000000003,1.9454391510498987,0.0,,21.77000000000001,21.77000000000001,48.0,0.0,0.0,28.94,5.48,33.21,1246.53,1031.79,100.0,214.74,-47.05,36.839999999999996,0.0,6.1709974293059116,22.35,4.8,8.86,0.0,0.0,6.244727929555205,6.156897719575525,36.22996161661775,44.161029577782806,0.0,9,2015,,,0.0,,9.997742663656885,88.58
2015-12-31,79.80000000000001,-7.840000000000003,-0.7836115927669065,0.0,,-8.66000000000001,-8.66000000000001,60.0,0.0,0.0,36.48,17.68,32.67,1167.41,960.22,100.0,207.19,-44.89,52.43,0.0,-19.129406887755092,28.96,4.63,8.07,0.0,0.0,-2.6877780530096618,-2.582908100074314,-15.136229873668572,-18.814446371067632,0.0,12,2015,,,0.0,,10.004956629491945,80.74
2016-03-31,61.28,2.34,0.23,0.0,,-0.4,-0.4,68.75,0.0,0.0,26.75,4.52,32.41,1043.97,834.44,100.0,209.53,-9.35,-0.38,0.0,74.7275,32.81,3.98,0.23,0.0,0.0,0.8800000000000001,-0.11999999999999998,4.48,5.36,0.0,3,2016,,,0.0,,10.17391304347826,2.34
2016-06-30,56.269999999999996,-0.7399999999999998,-0.07399999999999998,0.0,,-3.19,-3.19,55.25,0.0,0.0,171.77,14.47,31.95,1039.98,831.19,100.0,208.79,145.12,-0.09999999999999998,0.0,-186.65405405405411,26.46,3.98,0.16,0.0,0.0,-0.27749999999999986,0.5364999999999998,-1.4244999999999997,-1.4614999999999996,0.0,6,2016,,,0.0,,10.0,1.6
2016-09-30,73.33999999999999,-8.35,-0.8411851851851853,0.0,,-10.31,-10.31,55.25,0.0,0.0,43.41,10.06,31.56,1035.71,835.26,100.0,200.44,-128.18,-0.17000000000000004,0.0,-16.420284431137727,27.56,4.17,-0.68,0.0,0.0,-3.216296296296296,-6.03674074074074,-16.67525925925926,-16.08148148148148,0.0,9,2016,,,0.0,,9.926470588235293,-6.75
2016-12-31,72.22000000000003,14.2,1.4295302013422817,0.0,,21.83,21.83,40.0,0.0,0.0,48.14,7.08,31.15,992.03,776.83,100.0,215.2,4.859999999999999,-0.14,0.0,6.994867957746479,18.59,3.61,0.75,0.0,0.0,5.718120805369127,5.5656375838926175,26.37959731543624,26.913288590604022,0.0,12,2016,,,0.0,,9.933333333333334,7.45
