,revenue,net_profit,eps,dps,gross_profit,ebit,ebitda,close_price,allowance_doubtful_accounts,expense,operating_profit,cash,account_receivable,property_plant_equipment,total_asset,total_liability,paid_in_capital,total_equity,cash_flow_operation,cash_flow_investment,cash_flow_financing,depreciation,P/E,P/BV,D/E,EPS,DPS,DPR%,ROA%,ROAA%,ROE%,ROAE%,TIE,month,year,dividend,ROCE%,number_of_shares,return_old
2015-06-30,777.0,170.16,0.48178375508759513,0.004831003362236804,-78.28999999999999,213.2,220.17,19.6,109.92,177.51999999999998,-78.28999999999999,141.46,0.0,117.68,29842.23,25836.8,1759.48,4005.43,12.49,-15.129999999999999,-70.25,6.97,10.172198519040904,8.61,6.45,0.96,1.3,1.35,2.2884728366660765,2.8907025305255707,17.002951689966377,17.484735445053975,0.0,6,2015,1.7062500000000114,,353.1875,339.06
2015-09-30,795.1999999999998,176.49999999999994,0.5032488944060827,-0.009142122158429791,-73.47,221.18000000000006,228.38000000000005,18.0,183.66,174.58000000000004,-73.47,181.1,0.0,120.23,29658.15,25476.22,1759.48,4181.93,401.4,-9.190000000000005,-330.0,7.199999999999999,8.938320679886688,7.57,6.09,1.47,1.3,0.88,2.3827294592287993,3.0126464427030797,16.88451392660408,17.377492435410034,0.0,9,2015,-3.206335034013648,,350.7210884353741,515.56
2015-12-31,791.7400000000002,165.05000000000007,0.46803088405988763,0.007102142365887,-58.51999999999998,207.51999999999998,214.74,19.6,270.01,169.91999999999996,-58.51999999999998,117.28,0.0,132.67,30249.48,25902.49,1759.48,4346.99,-448.15,-23.64,403.0,7.220000000000002,10.474095122690091,7.93,5.96,1.93,1.3,0.67,2.1825274386212374,2.774234877536329,15.190390972803815,15.58809597273035,0.0,12,2015,2.504553945930752,,352.6476683937824,680.61
2016-03-31,790.23,172.59,0.49,1.35,-81.99,216.45,223.65,18.5,74.79,183.0,-81.99,213.83,0.0,129.36,30477.2,25958.15,1759.48,4519.05,4.74,-3.42,82.0,7.2,9.44,7.2,5.74,0.49,1.35,2.76,2.28,2.88,15.28,15.679999999999998,0.0,3,2016,475.50306122448984,,352.2244897959184,172.59
2016-06-30,801.79,183.20000000000002,0.5200595857106721,0.00016416471307601141,-87.13000000000001,224.29000000000002,231.41,19.9,142.06,191.16000000000003,-87.13000000000001,75.92,0.0,129.3,30811.31,26583.86,1759.48,4227.45,-308.88,-5.4399999999999995,194.60000000000002,7.12,9.564769377729258,8.28,6.29,1.01,1.35,1.34,2.368588212147615,2.986480789229602,17.342184996767756,17.795306219961216,0.0,6,2016,0.05782986461912287,,352.26732673267327,355.79
2016-09-30,815.8699999999999,189.58999999999997,0.5388252227804465,-0.0015702467786109084,-81.56,229.11,236.05,20.8,234.68,185.62999999999994,-81.56,148.54,0.0,128.88,31433.74,27016.7,1759.48,4417.03,-290.64,-5.76,349.6,6.940000000000001,9.65108866501398,8.29,6.12,1.55,1.35,0.87,2.419499064872199,3.0452315816494915,17.172881293776815,17.63175180608016,0.0,9,2016,-0.5525039923347208,,351.85806451612905,545.38
2016-12-31,822.48,161.29999999999995,0.45878332484292733,-0.001059684814224427,-72.59999999999997,197.93999999999994,204.86,23.1,379.79,177.93000000000006,-72.59999999999997,94.72,0.0,135.55,31706.54,27128.2,1759.48,4578.34,-68.41000000000008,-11.390000000000002,44.0,6.919999999999998,12.584862368257907,8.88,5.93,2.01,1.35,0.67,2.0359936604969713,2.5564045961396946,14.096745344427461,14.461946001018845,0.0,12,2016,-0.37256620125180007,,351.5820895522388,706.68
2017-03-31,803.22,175.57,0.5,1.4,-98.09,216.26,223.05,20.7,103.31,195.56,-98.09,176.01,0.0,134.24,32189.12,27435.22,1759.48,4753.91,-255.08,-3.87,338.5,6.79,10.35,7.66,5.77,0.5,1.4,2.8,2.2,2.7599999999999993,14.76,15.16,0.0,3,2017,491.59599999999995,,351.14,175.57
2017-06-30,831.02,184.55,0.5227174275241586,0.007608797067644186,-100.44,228.45,235.42000000000002,21.7,200.82,204.87,-100.44,124.83,0.0,131.49,32607.71,28161.73,1759.48,4445.98,-278.03999999999996,-3.76,193.01999999999998,6.97,10.376256299105933,8.59,6.33,1.02,1.4,1.37,2.2548594912806843,2.8698211707208707,16.603965344885037,17.013939797845165,0.0,6,2017,2.6863529411764944,,353.05882352941177,360.12
2017-09-30,845.8799999999999,195.59000000000003,0.5561033632650124,-0.005348324930375161,-93.23999999999998,239.75000000000006,246.64,22.1,309.56,197.70999999999998,-93.23999999999998,225.1,0.0,126.88,33344.22,28702.64,1759.48,4641.58,-392.49,-1.4500000000000002,511.0,6.889999999999999,9.937091492407585,8.38,6.18,1.58,1.4,0.89,2.3511205484875206,2.9705774594662686,16.852043691853666,17.274400676611904,0.0,9,2017,-1.8810871183916333,,351.7151898734177,555.71
