Name ,MCap (M),NVDR (Val),P/E,P/BV,D/E,DPS,EPS,ROA%,ROE%,NPM%,Yield%,FFloat%,MG%,Magic1,Magic2,PEG,CG
BDMS,"309,819","-6,049,469.20",36.95,5.56,0.87,0.19,0.54,11.06,15.33,11.9,1.44,51.69,,559,557,2.04,2
BEAUTY,"30,910","-5,593,108.40",47.12,23.41,0.33,0.14,0.22,50.64,53.15,25.64,2.10,52.26,,449,445,1.25,1
BEC,"30,000","-10,092,020.00",24.62,4.35,1.13,0.15,0.61,11.65,16.41,9.72,4.00,43.36,,470,465,-2.04,1
BEM,"107,759","-15,172,409.30",41.35,3.63,1.79,0.06,0.17,5.74,8.87,19.19,1.56,55.55,,723,743,-24.91,2
BFIT,"2,580","335,230.00",19.88,1.24,1.69,0.03,0.65,2.62,6.38,41.83,0.23,88.35,,635,693,-2.71,2
BGT,639,"-19,284.00",16.15,1.36,0.52,0.01,0.11,8.05,8.84,4.68,0.69,30.29,,510,449,-0.85,
BH,"131,164","-7,683,900.00",36.24,9.08,0.45,1.55,4.97,21.55,26.65,20,1.39,35.21,,436,426,1.77,1
BIG,"17,009","4,115,331.00",20.10,13.39,0.91,0.07,0.24,45.56,77.39,14.95,2.87,33.38,,275,276,0.01,1
BIGC,"166,650","19,900.00",26.01,3.30,0.86,1.90,7.77,8.71,13.18,5.3,0.95,41.44,,537,552,5.65,3
BIZ,"1,800","-4,540.00",25.62,3.52,0.23,0.10,0.18,17.86,18.72,9.45,2.23,29.88,,437,385,0.11,
BJC,"183,601","44,619,950.00",45.89,1.77,1.84,0.38,1,6.62,6.64,2.9,1.08,20.72,,795,733,2.56,1
BJCHI,"7,488","-772,926.10",66.60,1.58,0.09,0.13,0.07,1.9,2.17,2.11,5.34,25.30,,902,911,-10.93,1
BKD,"3,077","-12,672.00",38.98,2.69,0.48,0.07,0.08,7.35,8.21,5.77,2.23,37.79,,726,668,0.34,1
BKI,"37,584","636,600.00",15.49,1.13,0.72,5.00,22.79,4.81,7.17,19.65,3.94,66.91,,552,548,0.06,
BLA,"87,898","-423,250.25",17.20,2.64,7.47,0.43,2.99,2.28,16.95,9.21,1.44,43.78,,370,667,1.26,2
BLAND,"36,779","-939,129.00",22.34,0.69,0.18,0.07,0.08,4.26,3.09,21.6,4.20,69.46,,718,666,0.28,
BLISS,"1,060",,,1.00,0.31,,0,-8.57,-12.11,-23.96,,86.71,,,,,
BM,"1,528",,25.72,2.75,0.50,0.08,0.15,10.49,14.18,6.98,4.71,37.55,,511,508,-2.1,
BOL,"1,431",,19.72,3.53,0.43,0.07,0.09,14.61,18.69,18.17,3.89,21.81,,368,349,-8.43,2
BPP,"74,924","39,217,630.40",18.11,2.02,0.14,0.25,1.36,14.1,17.24,42.17,1.01,21.20,,372,343,,
BR,"5,983","137,800.00",28.09,1.34,0.93,0.20,0.23,5.41,4.65,2.63,3.08,52.95,,746,680,-0.71,1
BROCK,"2,583",,473.41,2.12,0.02,,0.01,0.56,0.44,7.23,,14.77,,970,993,-9.17,1
BROOK,"4,792","-115,099.00",5.95,1.85,0.09,0.05,0.14,36.9,35.89,71.79,8.24,39.24,,31,14,-0.04,2
BRR,"9,542","-1,443,605.30",84.38,4.56,2.45,0.02,0.17,4.57,5.36,2.41,0.16,25.57,,857,829,-8.96,1
BSBM,"1,586","-354,135.00",5.91,0.81,0.04,0.06,0.24,15.4,14.45,10.68,9.40,31.50,,181,91,-0.01,
