SET Symbol,ISIN CODE,บริษัท,ประเภทหลักทรัพย์,วันที่มีผล,ราคาพาร์เก่า,ราคาพาร์ใหม่,"ประเภท
การเปลี่ยนพาร์ ",,,
     GLAND,TH0538A10Z04,บริษัท แกรนด์ คาแนล แลนด์ จำกัด (มหาชน),หุ้นสามัญ,9 พ.ค. 2554,4.00,1.00,Par Change,,,
     TGPRO,TH0466A10Z00,บริษัท ไทย-เยอรมัน โปรดักส์ จำกัด (มหาชน),หุ้นสามัญ,6 พ.ค. 2554,1.00,0.20,Par Change,,,
     SAUCE,TH0460010Z06,บริษัท ไทยเทพรส จำกัด (มหาชน),หุ้นสามัญ,4 พ.ค. 2554,10.00,1.00,Par Change,,,
     SC,TH0747010Z06,บริษัท เอสซี แอสเสท คอร์ปอเรชั่น จำกัด (มหาชน),หุ้นสามัญ,28 เม.ย. 2554,10.00,5.00,Par Change,,,
     SC,TH0747010Z06,บริษัท เอสซี แอสเสท คอร์ปอเรชั่น จำกัด (มหาชน),หุ้นสามัญ,28 เม.ย. 2554,5.00,1.00,Par Change,,,
     RICH,TH0918A10Z04,บริษัท ริช เอเชีย คอร์ปอเรชั่น จำกัด (มหาชน),หุ้นสามัญ,17 มี.ค. 2554,0.10,1.00,Par Change,,,
     ZMICO,TH0472A10Z02,บริษัท หลักทรัพย์ซีมิโก้ จำกัด (มหาชน),หุ้นสามัญ,28 ธ.ค. 2553,1.00,0.50,Par Change,,,
     TCC,TH0226A10Z01,บริษัท ไทย แคปปิตอล คอร์ปอเรชั่น จำกัด (มหาชน),หุ้นสามัญ,26 ส.ค. 2553,1.00,0.50,Par Change,,,
     TRS,TH0315010Z02,บริษัท ตรังผลิตภัณฑ์อาหารทะเล จำกัด (มหาชน),หุ้นสามัญ,22 ก.ค. 2553,10.00,0.50,Par Change,,,
     TMB,TH0068010Z07,ธนาคารทหารไทย จำกัด (มหาชน),หุ้นสามัญ,6 ก.ค. 2553,10.00,0.95,Par Change,,,
     STA,TH0254A10Z06,บริษัท ศรีตรังแอโกรอินดัสทรี จำกัด (มหาชน),หุ้นสามัญ,6 ก.ค. 2553,5.00,1.00,Par Change,,,
     TRUBB,TH0249010Z03,บริษัท ไทยรับเบอร์ลาเท็คซ์คอร์ปอร์เรชั่น (ประเทศไทย) จำกัด (มหาชน),หุ้นสามัญ,28 มิ.ย. 2553,10.00,1.00,Par Change,,,
     ML,TH0785A10Z04,บริษัท ไมด้า ลิสซิ่ง จำกัด (มหาชน),หุ้นสามัญ,25 พ.ค. 2553,0.10,0.50,Par Change,,,
     TC,TH0178A10Z09,บริษัท ทรอปิคอลแคนนิ่ง (ประเทศไทย) จำกัด (มหาชน),หุ้นสามัญ,24 พ.ค. 2553,10.00,1.00,Par Change,,,
     TKS,TH0749A10Z09,บริษัท ที.เค.เอส. เทคโนโลยี จำกัด (มหาชน),หุ้นสามัญ,24 พ.ค. 2553,0.10,1.00,Par Change,,,
     GFPT,TH0297010Z02,บริษัท จีเอฟพีที จำกัด (มหาชน),หุ้นสามัญ,17 พ.ค. 2553,10.00,1.00,Par Change,,,
     MILL,TH0957010Z01,บริษัท มิลล์คอน สตีล จำกัด (มหาชน),หุ้นสามัญ,10 มี.ค. 2553,1.00,0.40,Par Change,,,
     PRO,TH0778010Z01,บริษัท โปรเฟสชั่นแนล เวสต์ เทคโนโลยี (1999) จำกัด (มหาชน),หุ้นสามัญ,12 ก.พ. 2553,1.00,0.70,Par Change,,,
     CEN,TH0230A10Z05,บริษัท แคปปิทอล เอ็นจิเนียริ่ง เน็ตเวิร์ค จำกัด (มหาชน),หุ้นสามัญ,11 ม.ค. 2553,5.00,1.00,Par Change,,,
     FSS,TH0802010Z09,บริษัท หลักทรัพย์ฟินันเซีย ไซรัส จำกัด (มหาชน),หุ้นสามัญ,17 ก.ค. 2552,2.00,1.60,Par Change,,,
     TPROP,TH0185A10Z00,บริษัท ไทย พร็อพเพอร์ตี้ จำกัด (มหาชน),หุ้นสามัญ,10 ก.ค. 2552,10.00,1.00,Par Change,,,
     EMC,TH0565B10Z09,บริษัท อีเอ็มซี จำกัด (มหาชน),หุ้นสามัญ,29 พ.ค. 2552,0.10,1.00,Par Change,,,
     HFT,TH0755010Z09,บริษัท ฮั้วฟงรับเบอร์ (ไทยแลนด์) จำกัด (มหาชน),หุ้นสามัญ,11 พ.ค. 2552,10.00,1.00,Par Change,,,
     IEC,TH0286A10Z08,บริษัท อินเตอร์แนชั่นเนิลเอนจีเนียริง จำกัด (มหาชน),หุ้นสามัญ,6 พ.ค. 2552,1.00,0.10,Par Change,,,
     IEC,TH0286A10Z08,บริษัท อินเตอร์แนชั่นเนิลเอนจีเนียริง จำกัด (มหาชน),หุ้นสามัญ,6 พ.ค. 2552,0.10,0.01,Par Change,,,
     UPOIC,TH0227010Z09,บริษัท สหอุตสาหกรรมน้ำมันปาล์ม จำกัด (มหาชน),หุ้นสามัญ,4 พ.ค. 2552,10.00,1.00,Par Change,,,
     POWER,TH0292010Z03,บริษัท วีจีเอ็ม คอร์ปอเรชั่น จำกัด (มหาชน),หุ้นสามัญ,4 พ.ค. 2552,10.00,0.65,Par Change,,,
     PATO,TH0532010Z02,บริษัท พาโตเคมีอุตสาหกรรม จำกัด (มหาชน),หุ้นสามัญ,29 เม.ย. 2552,10.00,1.00,Par Change,,,
     BT,TH0041A10Z04,ธนาคารซีไอเอ็มบี ไทย จำกัด (มหาชน),หุ้นสามัญ,3 เม.ย. 2552,3.75,0.50,Par Change,,,
     GJS,TH0585B10Z05,บริษัท จี เจ สตีล จำกัด (มหาชน),หุ้นสามัญ,13 พ.ย. 2551,0.69,6.90,Par Change,,,
     PE,TH0243010Z06,บริษัท พรีเมียร์ เอ็นเตอร์ไพรซ์ จำกัด (มหาชน),หุ้นสามัญ,18 เม.ย. 2551,1.00,10.00,Par Change,,,
     PE,TH0243010Z06,บริษัท พรีเมียร์ เอ็นเตอร์ไพรซ์ จำกัด (มหาชน),หุ้นสามัญ,18 เม.ย. 2551,10.00,0.50,Par Change,,,
     CCP,TH0745010Z00,บริษัท ผลิตภัณฑ์คอนกรีตชลบุรี จำกัด (มหาชน),หุ้นสามัญ,16 ก.ค. 2547,1.00,0.25,Par Change,,,
     PPM,TH0806010Z00  ,บริษัท พรพรหมเม็ททอล จำกัด (มหาชน),หุ้นสามัญ,1 มิ.ย. 2559,1.00,0.50,Par Change,,,
     AF,TH0787010Z02  ,บริษัท ไอร่า แฟคตอริ่ง จำกัด (มหาชน),หุ้นสามัญ,2 ก.ย. 2558,5.00,0.25,Par Change,,,
     SALEE,TH0836010Z07  ,บริษัท สาลี่อุตสาหกรรม จำกัด (มหาชน),หุ้นสามัญ,21 พ.ค. 2558,1.00,0.25,Par Change,,,
     BROOK,TH0634B10Z06  ,บริษัท บรุ๊คเคอร์ กรุ๊ป จำกัด (มหาชน),หุ้นสามัญ,13 พ.ค. 2558,0.50,0.13,Par Change,,,
     IRCP,TH0711010Z02  ,บริษัท อินเตอร์เนชั่นแนล รีเสริช คอร์ปอเรชั่น จำกัด (มหาชน),หุ้นสามัญ,8 พ.ค. 2557,2.00,1.00,Par Change,,,
     L&E,TH0784010Z09  ,บริษัท ไลท์ติ้ง แอนด์ อีควิปเมนท์ จำกัด (มหาชน),หุ้นสามัญ,30 เม.ย. 2557,5.00,1.00,Par Change,,,
     UAC,TH1040010Z05,บริษัท ยูเอซี โกลบอล จำกัด (มหาชน),หุ้นสามัญ,29 ต.ค. 2555,1.00,0.50,Par Change,,,
     AGE,TH0990010Z02,บริษัท เอเชีย กรีน เอนเนอจี จำกัด (มหาชน),หุ้นสามัญ,26 ก.ย. 2554,1.00,0.25,Par Change,,,
     SLC,TH0795A10Z02,บริษัท นิวส์ เน็ตเวิร์ค คอร์ปอเรชั่น จำกัด (มหาชน),หุ้นสามัญ,6 ก.ค. 2554,1.00,0.10,Par Change,,,
     SLC,TH0795A10Z02,บริษัท นิวส์ เน็ตเวิร์ค คอร์ปอเรชั่น จำกัด (มหาชน),หุ้นสามัญ,6 ก.ค. 2554,0.10,1.00,Par Change,,,
     SLC,TH0795A10Z02,บริษัท นิวส์ เน็ตเวิร์ค คอร์ปอเรชั่น จำกัด (มหาชน),หุ้นสามัญ,6 ก.ค. 2554,1.00,5.00,Par Change,,,
