,revenue,net_profit,eps,dps,gross_profit,ebit,ebitda,close_price,allowance_doubtful_accounts,expense,cash,property_plant_equipment,total_asset,total_liability,paid_in_capital,total_equity,cash_flow_operation,cash_flow_investment,cash_flow_financing,depreciation,P/E,P/BV,D/E,EPS,DPS,DPR%,ROA%,ROAA%,ROE%,ROAE%,NPMA%,month,year,operating_profit,dividend,ROCE%,number_of_shares,return_old
2010-12-31,243.66999999999996,63.68000000000001,0.5319688821594529,0.00156406526685517,,85.64999999999998,95.47,14.0,0.0,158.01,253.46,49.0,1642.32,193.29,120.0,1449.02,150.78,-11.819999999999993,0.0,9.82,6.579332207914573,1.16,0.13,1.6,0.85,0.53,15.506892914948052,21.850621834699528,17.58157155536992,18.206634991907272,26.06,12,2010,,0.18722838785048168,,119.70625,191.53
2011-03-31,168.93,33.38,0.28,0.0,,51.0,56.95,19.0,0.0,117.94,163.93,45.08,1651.17,169.12,120.0,1482.05,-120.37,30.83,0.0,5.95,16.965,1.54,0.11,0.28,0.0,0.0,8.08,13.04,9.0,9.28,19.76,3,2011,,0.0,,119.21428571428571,33.38
2011-06-30,178.29000000000002,39.68,0.3313003011223652,2.9,,59.760000000000005,65.78,18.3,0.0,118.52000000000001,129.14,40.78,1361.23,190.3,120.0,1170.93,303.83000000000004,9.39,-348.0,6.0200000000000005,13.809223790322582,1.88,0.16,0.61,2.9,4.75,11.666115521489186,16.945195729537364,13.556156583629894,12.687172187243362,21.04,6,2011,,347.3344262295082,,119.77049180327869,73.06
2011-09-30,178.02999999999997,36.230000000000004,0.30166803916186297,0.00793002224492183,,52.7,54.83,18.0,0.0,125.34,48.79,38.4,1354.06,143.8,120.0,1210.25,-86.35000000000001,6.0,0.0,2.129999999999999,14.91689345845984,1.78,0.12,0.91,2.9,3.19,10.700927806752677,14.745268551560068,11.97390063134779,11.15177234879678,20.81,9,2011,,0.9523869573049524,,120.0989010989011,109.29
2011-12-31,225.63,78.12999999999998,0.6503190694696402,0.0010168147933593231,,93.80999999999997,102.88,18.4,0.0,131.82,70.63,36.27,1435.97,156.44,120.0,1279.54,17.5,4.329999999999998,0.0,9.070000000000002,7.070529246128249,1.73,0.12,1.56,2.9,1.86,21.760676555330274,27.880345747518934,24.428652224949307,22.91124106285348,24.96,12,2011,,0.12216117216115663,,120.14102564102564,187.42
2012-03-31,180.41,32.95,0.27,0.0,,43.42,47.47,22.2,0.0,136.98,161.66,33.71,1431.9,118.87,120.0,1313.04,88.98,2.05,0.0,4.05,20.555,2.03,0.09,0.27,0.0,0.0,9.2,11.28,10.04,9.44,18.26,3,2012,,0.0,,122.03703703703704,32.95
2012-06-30,179.6,29.909999999999997,0.2474260260897232,2.0,,39.91,40.370000000000005,18.5,0.0,139.70000000000002,83.6,34.74,1222.89,117.39,120.0,1105.5,153.62,8.32,-240.0,0.45999999999999996,18.69407221664995,2.01,0.11,0.52,2.0,3.85,9.7828444161629,12.276137448297803,10.829646834234808,10.506089723194398,17.46,6,2012,,241.76923076923075,,120.88461538461537,62.86
2012-09-30,162.43000000000006,31.260000000000005,0.25906077348066303,-0.003612409689757478,,40.94,43.639999999999986,19.8,0.0,121.49000000000001,101.34,29.62,1267.13,124.45,120.0,1142.69,15.150000000000006,2.6000000000000014,0.0,2.7,19.104011516314777,2.08,0.11,0.78,2.0,2.56,9.8708797280068,12.594339141521464,10.946978325541863,10.628134296642585,18.02,9,2012,,-0.4358974358974024,,120.66666666666667,94.12
2012-12-31,306.7199999999999,102.15,0.8535486829367708,-0.016541838623664595,,133.86,141.19000000000003,21.0,0.05,172.85999999999996,220.69,27.95,1459.33,206.26,120.0,1253.07,111.75999999999999,7.589999999999998,0.0,7.329999999999999,6.148448360254528,2.01,0.16,1.64,2.0,1.22,28.000560452437966,37.11895857746981,32.60139603607276,32.26830386712182,23.67,12,2012,,-1.9796747967479575,,119.67682926829269,196.27
2013-03-31,361.02,156.9,1.31,0.0,,195.96,199.28,26.75,0.0,165.05,430.2,26.96,1667.47,200.84,120.0,1466.63,204.41,5.1,0.0,3.32,5.105,2.19,0.14,1.31,0.0,0.0,37.64,50.60000000000001,42.8,45.16,43.46,3,2013,,0.0,,119.77099236641222,156.9
