,revenue,net_profit,eps,dps,gross_profit,ebit,ebitda,close_price,allowance_doubtful_accounts,expense,operating_profit,cash,account_receivable,inventory,current_asset,property_plant_equipment,total_asset,short_term_loan,account_payable,current_portion_long_term_debt,current_liability,non_current_liability,total_liability,paid_in_capital,total_equity,cash_flow_operation,cash_flow_investment,cash_flow_financing,depreciation,P/E,P/BV,D/E,EPS,ROA%,ROAA%,ROE%,ROAE%,ROCE%,NPM%,NPMA%,TIE,CurrentRatio,QuickRatio,month,year,dividend,number_of_shares,return_old
2008-12-31,4312.389999999999,-4704.25,-0.1292546819360795,0.0,-2095.53,-4666.4400000000005,-3972.17,0.14,0.0,8978.84,-3474.25,83.26,1864.49,3761.09,6771.81,22073.05,30163.54,1304.61,2781.02,0.0,6357.12,394.88,6752.0,27394.67,23411.54,670.55,-268.28000000000003,-450.5,694.2700000000001,-0.27078322793218895,0.24,0.29,-0.1,-62.40416043873918,-59.45715369059656,-80.39641216424144,-84.42915824064711,-76.46706983338461,-13.94,-13.53,0.0,1.07,0.47,12,2008,0.0,36395.2,-3639.52
2009-03-31,4171.45,-4842.25,-0.12,0.0,-2238.01,-4709.43,-4384.17,0.11,1045.4,8880.88,-2726.71,139.69,870.89,1826.74,3699.0,21881.25,26866.28,643.82,2542.79,0.0,7911.4,395.58,8306.98,27394.67,18559.3,924.04,-104.56,-764.2,325.26,-0.22999999999999998,0.24,0.45,-0.12,-72.08,-64.12,-104.36,-84.04,-99.4,-143.61,-116.08,0.0,0.47,0.24,3,2009,0.0,40352.083333333336,-4842.25
2009-06-30,4583.740000000001,540.79,0.013829467204158587,0.0,-1267.9399999999996,574.8500000000004,816.29,0.18,963.45,4008.8900000000012,-1574.3500000000004,60.24,781.23,1084.21,2404.8,21735.9,25190.17,0.0,2129.8,0.0,5693.74,391.39,6085.13,27394.67,19105.04,480.1500000000001,-56.72999999999999,-502.3699999999999,241.44000000000005,3.261152388172858,0.37,0.32,-0.11,8.589356358073768,7.120918385850385,11.320047518749448,9.167679532065856,10.666290887280132,-61.18,-49.13,-29.16,0.42,0.23,6,2009,0.0,39104.181818181816,-4301.46
2009-09-30,1967.4099999999999,-566.6199999999999,-0.01396739576999556,0.0,-239.97000000000025,-533.96,-350.78999999999996,0.28,963.45,2501.369999999999,-672.21,35.68,826.21,807.78,2135.55,23238.48,26196.45,0.0,2029.17,0.0,7267.68,390.36,7658.04,27394.67,18538.41,216.04999999999995,-51.69,-188.76,183.16999999999996,-5.00451201863683,0.6,0.41,-0.12,-8.650473780217249,-7.128027641287734,-12.226127097336114,-9.716651657326912,-11.48119932293635,-54.34,-45.4,-29.64,0.29,0.18,9,2009,0.0,40567.333333333336,-4868.08
2009-12-31,3553.49,-1540.13,-0.03845392082968567,0.0,-1220.8500000000004,-1440.9700000000003,-1214.71,0.2,302.46,4994.459999999999,-1740.4799999999996,42.84,93.15,1058.48,1455.1,24530.09,26663.82,0.0,3699.16,0.0,8284.05,1381.49,9665.54,27394.67,16998.28,75.59999999999991,-25.159999999999997,-40.830000000000155,226.26,-1.3002575269620096,0.47,0.57,-0.16,-23.10119293843367,-20.668982445956047,-36.242820381978746,-30.493959217940738,-31.955208209468797,-52.04,-44.89,-32.86,0.18,0.05,12,2009,0.0,40051.3125,-6408.21
2010-03-31,3885.18,-5.26,0.0,-0.0,205.92,79.94,287.3,0.2,0.0,3805.24,-250.33,97.17,389.93,966.6,1685.34,24350.04,26667.11,0.0,2679.33,0.0,6492.28,1367.12,7859.4,27394.67,18807.71,107.38,-16.24,-36.58,207.36,0.0,0.42,0.42,0.0,-0.08,1.2,-0.12,-0.12,1.6,-0.15,-0.14,4.81,0.26,0.11,3,2010,0.0,-inf,-5.26
2010-06-30,3979.57,-424.05,-0.009877477813235192,0.0,95.60999999999999,-345.25,-133.97,0.18,0.0,4324.820000000001,-324.56999999999994,59.87,310.65,1393.8,2103.35,24164.76,26920.88,0.0,3826.08,0.0,8951.94,1399.96,10351.9,27394.67,16568.97,-54.15,-39.08,55.29,211.27999999999997,-4.555818889281924,0.43,0.62,-0.01,-6.282075889217582,-4.030010947799958,-10.233067014511658,-9.521888611958726,-5.8474668654352335,-5.86,-5.46,-7.91,0.23,0.08,6,2010,0.0,42931.0,-429.31
2010-09-30,4338.18,-124.29000000000002,-0.0022451228323699425,0.0,-51.19999999999996,-9.269999999999982,191.48999999999998,0.24,0.0,4347.45,-416.76,88.09,811.4,1000.41,2257.68,23992.54,26886.31,0.0,3590.23,0.0,9077.56,1364.07,10441.62,27394.67,16444.68,60.11000000000001,-3.520000000000003,-27.69,200.76,-26.724595703596425,0.58,0.63,-0.01,-1.8499812138728327,-0.9249906069364163,-3.0264255780346825,-2.8378352601156074,-1.3829956647398847,-4.89,-4.54,-2.59,0.25,0.14,9,2010,0.0,55360.0,-553.6
2010-12-31,3962.379999999999,-3117.94,-0.07642967256246698,0.0,62.43999999999997,-2985.3,-2787.7400000000002,0.25,0.0,6947.6799999999985,-315.09000000000003,56.84,418.09,1037.72,1966.33,21070.3,23691.66,0.0,3129.03,367.14,9256.75,957.88,10214.63,27394.74,13477.03,12.090000000000003,-28.08,-15.79,197.56000000000006,-0.8183994239786525,0.74,0.76,-0.09,-52.651552209699474,-43.98952265261988,-92.53085691562667,-81.86467150024241,-76.70142250935574,-24.22,-22.71,-18.76,0.21,0.1,12,2010,0.0,40794.88888888889,-3671.54
2011-03-31,4743.99,-202.92,-0.01,0.0,359.13,-56.29,203.6,0.25,0.0,4800.28,68.87,51.43,215.24,973.12,1513.05,20842.18,23023.41,0.0,1377.48,368.33,6023.0,3676.08,9699.09,27533.31,13324.32,67.07,-10.87,-61.64,259.89,-6.25,0.75,0.73,-0.01,-3.52,-0.92,-6.08,-5.04,-1.32,-4.29,-4.28,-0.93,0.25,0.09,3,2011,0.0,20292.0,-202.92
2011-06-30,5105.32,-275.71000000000004,-0.005760399473497275,0.0,116.57999999999998,-194.93,67.50000000000003,0.22,0.0,5300.250000000001,-179.15,38.23,341.77,1249.57,1988.54,20610.27,23285.39,0.0,1645.12,374.07,6569.33,3667.46,10236.78,27533.31,13048.6,18.810000000000002,-21.150000000000006,-10.989999999999995,262.43000000000006,-9.547948931848682,0.67,0.78,-0.01,-4.746569166161754,-2.3041597893989096,-8.456266427093999,-7.442436119758478,-3.4562396840983647,-4.87,-4.86,-2.57,0.3,0.11,6,2011,0.0,47863.0,-478.63
2011-09-30,4818.65,-316.15999999999997,-0.007955812227129178,0.0,119.51000000000005,-272.87,-7.350000000000023,0.17,0.0,5091.529999999999,-326.77,94.68,232.48,913.6,1533.45,20375.27,22607.06,0.0,1498.26,374.74,6266.81,3607.81,9874.62,27533.31,12732.44,129.82,-20.759999999999998,-52.730000000000004,265.52,-5.342006420799596,0.53,0.78,-0.02,-5.600891807898941,-3.373264384302772,-9.928853659457216,-8.671835327570804,-5.107631449816933,-5.46,-5.42,-4.01,0.24,0.1,9,2011,0.0,39739.5,-794.79
2011-12-31,4031.220000000001,-497.24,-0.011545552347855701,0.0,79.03999999999996,-420.12,-156.59,0.14,0.0,4451.33,-155.45999999999998,32.26,233.58,2020.61,2609.86,20140.65,23436.29,0.0,4622.06,376.17,11191.84,9.24,11201.09,27533.31,12235.2,-71.56,-8.36,17.319999999999993,263.52999999999986,-3.0336357191698173,0.46,0.92,-0.03,-8.482132458224655,-6.173021988653514,-16.256137705780827,-15.47104014612664,-11.86882781359566,-6.94,-6.91,-6.5,0.23,0.05,12,2011,0.0,43067.666666666664,-1292.03
2012-03-31,3308.97,-347.41,-0.01,0.0,-12.53,-198.69,55.97,0.16,0.0,3507.66,-330.18,54.51,217.25,1957.41,2550.91,19908.97,23139.99,0.0,4097.73,373.79,11240.54,11.65,11252.19,27533.31,11887.8,56.42,-0.02,-33.89,254.66,-4.0,0.54,0.95,-0.01,-6.0,-3.44,-11.68,-11.04,-6.68,-10.97,-10.5,-10.15,0.23,0.05,3,2012,0.0,34741.0,-347.41
